input_small_gen.txt,missing_one
304728,329964
304728,330078
304728,330127
304728,330577
input_large_gen.txt,random_50
304728,291266
304728,291544
304728,291250
304728,291362
304728,291914
304728,291589
304728,291827
304728,291463
304728,291726
304728,291993
input_large_gen.txt,random_75
304728,183747
304728,184496
304728,183885
304728,184018
304728,184027
304728,183533
304728,184118
304728,184236
304728,183952
304728,183909
input_large_gen.txt,random_90
304728,102833
304728,103188
304728,103283
304728,103053
304728,102894
304728,102763
304728,102969
304728,103238
304728,103012
304728,102929
input_large_gen_reduced.txt,missing_one
142564,3756
142564,3760
142564,3756
142564,3793
142564,3764
142564,3850
142564,3811
142564,3783
142564,3789
142564,3766
input_large_gen_reduced.txt,has_one
142564,144117
142564,143699
142564,143820
142564,143948
142564,144097
142564,143795
142564,143691
142564,144192
142564,144025
142564,144033
input_large_gen_reduced.txt,some
142564,134781
142564,134564
142564,134433
142564,134186
142564,133886
142564,134663
142564,134528
142564,134045
142564,134501
142564,133984
input_large_gen_reduced.txt,half
142564,107433
142564,107253
142564,107145
142564,107384
142564,107343
142564,107486
142564,107728
142564,107298
142564,107450
142564,106973
input_large_gen_reduced.txt,most
142564,61815
142564,61847
142564,61572
142564,61803
142564,61715
142564,62020
142564,62117
142564,61974
142564,61886
142564,61851
input_large_gen_reduced.txt,random_10
142564,153686
142564,153896
142564,153370
142564,153750
142564,153901
142564,154012
142564,153829
142564,154223
142564,154097
142564,153620
input_large_gen_reduced.txt,random_25
142564,159538
142564,159310
142564,159091
142564,159327
142564,159285
142564,159135
142564,159525
142564,159108
142564,159164
142564,159049
input_large_gen_reduced.txt,random_50
142564,138180
142564,138231
142564,138013
142564,137857
142564,138100
142564,138208
